Cue	Target	Answer	Shuffle	Stimuli Notes
"<font size=""5"" color=""black""> Who wrote the words to 'The Star Spangled Banner'? List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black""> How do you say 'thank you' in Japanese? List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black"">The spreading of atoms or molecules of one substance through those of another, especially into liquids and gases is known as _______. List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black"">What is the sixth planet from the Sun? List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black""> What is the term for large, white, puffy clouds that generally appear in fair weather, but that can also form thunderheads on hot days? List candidate answers in the order that they come to mind.</font> "	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black""> What is the name of the phylum within the animal kingdom that includes shrimp, centipedes, insects, and spiders? List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black""> On the periodic table, what is the symbol for Mercury? List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black""> Who invented the cotton gin, a device for processing raw cotton? List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black"">Who was the legendary hero who, famous for his skill as an archer, was forced to shoot an apple off of his own son's head? List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black""> Animal Farm is a novel written by _____. List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black"">Who was the only college football player to win the Heisman Trophy twice? List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black""> _____ was a Spanish surrealist painter of the twentieth century, known for his iconic use of melting clocks. List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black"">The capital of Uganda is _____. List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black"">Who was the fourth president of the United States? List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black"">The Latin translation of 'and so forth' is ______. List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black"">Who was the ancient Greek mathematician that is considered the 'Father of Geometry'? List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black"">What is the term for a large star in its death throes that suddenly explodes, bringing about a burst of radiation that often briefly outshines the entire galaxy? List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black"">What is the hereditary disease that is caused by a deficiency of a substance in the blood that aids in clotting? List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black"">What is the name of the large bone in the upper arm? List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font sie = ""5"" color = ""black""> Ginger comes from what part of a plant? </font> "	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<u>DEBRIEFING SHEET</u><br><u>What are we trying to learn with this research? </u><br>The experiment that you participated in today is part of a larger study investigating how tests can serve as learning events.  Specifically, we are interested in how taking an initial test affects your ability to remember that initially tested information. More specifically, we are interested in how taking multiple-choice tests versus cued-recall tests affects the number of responses that come to mind during a final test, your recall of the correct response, and your confidence in recalling that response.<br><u>Why is this important to scientists or the general public?</u><br>Teachers give tests in classrooms primarily to assess how much their students know.  We think that tests should be used for more than assessment„that they should also be used as opportunities to learn.  This research will help us to learn how to construct tests that can serve optimally as learning opportunities.<br><u>What if I have questions later?</u><br>If you have questions, please contact Jeri Little at jerilittle@gmail.com"	N/A	N/A	OFF	Initial Study
